iter	Passed	Remaining
471	727	813
472	728	811
473	729	809
474	731	808
475	732	806
476	734	805
477	735	803
478	737	801
479	738	800
480	740	798
481	741	797
482	743	795
483	744	794
484	746	792
485	747	790
486	749	789
487	750	787
488	751	785
489	753	784
490	754	782
491	756	780
492	757	779
493	759	777
494	760	776
495	762	774
496	763	773
497	765	771
498	766	769
499	768	768
500	769	766
501	771	764
502	772	763
503	774	761
504	775	760
505	776	758
506	778	756
507	779	755
508	781	753
509	782	752
510	784	750
511	785	748
512	787	747
513	788	745
514	789	743
515	791	742
516	792	740
517	794	739
518	796	737
519	797	736
520	799	734
521	800	733
522	802	732
523	804	730
524	805	729
525	807	727
526	809	726
527	810	724
528	812	723
529	813	721
530	815	720
531	816	718
532	818	717
533	820	715
534	821	714
535	823	712
536	825	711
537	826	709
538	828	708
539	830	707
540	831	705
541	833	704
542	835	702
543	836	701
544	838	699
545	840	698
546	841	697
547	843	695
548	844	694
549	846	692
550	848	691
551	849	689
552	851	688
553	853	686
554	854	685
555	856	684
556	858	682
557	859	681
558	861	679
559	863	678
560	864	676
561	866	675
562	867	673
563	869	672
564	871	670
565	872	669
566	874	667
567	876	666
568	877	664
569	879	663
570	881	662
571	882	660
572	884	659
573	886	657
574	887	656
575	889	654
576	891	653
577	892	651
578	894	650
579	895	648
580	897	647
581	899	645
582	900	644
583	902	642
584	903	641
585	905	639
586	906	638
587	908	636
588	910	635
589	911	633
590	913	632
591	915	630
592	916	629
593	918	627
594	920	626
595	921	624
596	923	623
597	925	621
598	926	620
599	928	619
600	930	617
601	931	616
602	933	614
603	934	612
604	936	611
605	937	609
606	939	608
607	941	606
608	942	605
609	944	603
610	946	602
611	947	600
612	949	599
613	950	597
614	952	596
615	953	594
616	955	593
617	957	591
618	958	590
619	960	588
620	962	587
621	963	585
622	965	584
623	967	582
624	968	581
625	970	579
626	971	578
627	973	576
628	974	575
629	976	573
630	978	572
631	979	570
632	981	569
633	983	567
634	984	566
635	986	564
636	988	563
637	989	561
638	991	559
639	992	558
640	994	556
641	995	555
642	997	553
643	999	552
644	1000	550
645	1002	549
646	1003	547
647	1005	546
648	1006	544
649	1008	542
650	1009	541
651	1011	539
652	1012	538
653	1014	536
654	1016	535
655	1017	533
656	1019	532
657	1021	530
658	1022	529
659	1024	527
660	1025	526
661	1027	524
662	1029	523
663	1030	521
664	1032	520
665	1033	518
666	1035	517
667	1037	515
668	1038	513
669	1040	512
670	1041	510
671	1043	509
672	1045	507
673	1046	506
674	1048	504
675	1050	503
676	1051	501
677	1053	500
678	1054	498
679	1056	497
680	1058	495
681	1059	494
682	1061	492
683	1063	491
684	1065	489
685	1066	488
686	1068	486
687	1069	485
688	1071	483
689	1073	482
690	1074	480
691	1076	479
692	1078	477
693	1079	476
694	1081	474
695	1082	472
696	1084	471
697	1086	469
698	1087	468
699	1088	466
700	1090	465
701	1092	463
702	1093	462
703	1095	460
704	1097	459
705	1098	457
706	1100	456
707	1102	454
708	1103	453
709	1105	451
710	1107	449
711	1108	448
712	1110	446
713	1111	445
714	1113	443
715	1114	442
716	1116	440
717	1118	439
718	1119	437
719	1121	436
720	1123	434
721	1125	433
722	1126	431
723	1128	430
724	1130	428
725	1131	427
726	1133	425
727	1134	424
728	1136	422
729	1138	420
730	1139	419
731	1141	417
732	1143	416
733	1144	414
734	1146	413
735	1147	411
736	1149	410
737	1151	408
738	1152	407
739	1154	405
740	1156	404
741	1157	402
742	1159	401
743	1161	399
744	1162	397
745	1164	396
746	1165	394
747	1167	393
748	1169	391
749	1170	390
750	1172	388
751	1173	387
752	1175	385
753	1177	384
754	1178	382
755	1180	381
756	1182	379
757	1183	377
758	1185	376
759	1187	374
760	1188	373
761	1190	371
762	1191	370
763	1193	368
764	1195	367
765	1196	365
766	1198	364
767	1200	362
768	1201	360
769	1203	359
770	1204	357
771	1206	356
772	1208	354
773	1209	353
774	1211	351
775	1213	350
776	1214	348
777	1216	346
778	1217	345
779	1219	343
780	1221	342
781	1222	340
782	1224	339
783	1225	337
784	1227	336
785	1228	334
786	1230	333
787	1232	331
788	1233	329
789	1235	328
790	1236	326
791	1238	325
792	1240	323
793	1241	322
794	1243	320
795	1245	319
796	1246	317
797	1248	315
798	1250	314
799	1251	312
800	1253	311
801	1255	309
802	1256	308
803	1258	306
804	1260	305
805	1261	303
806	1263	302
807	1264	300
808	1266	299
809	1268	297
810	1269	295
811	1271	294
812	1273	292
813	1274	291
814	1276	289
815	1278	288
816	1279	286
817	1281	285
818	1282	283
819	1284	281
820	1285	280
821	1287	278
822	1289	277
823	1291	275
824	1292	274
825	1294	272
826	1295	271
827	1297	269
828	1299	267
829	1300	266
830	1302	264
831	1304	263
832	1305	261
833	1307	260
834	1309	258
835	1310	257
836	1311	255
837	1313	253
838	1314	252
839	1315	250
840	1316	248
841	1318	247
842	1319	245
843	1320	244
844	1322	242
845	1323	240
846	1324	239
847	1326	237
848	1327	236
849	1328	234
850	1330	232
851	1331	231
852	1332	229
853	1333	228
854	1335	226
