iter	RMSE
945	119241.5048
946	119232.2189
947	119225.122
948	119192.6918
949	119179.3523
950	119178.7077
951	119140.0529
952	119090.6966
953	119070.0386
954	119069.7252
955	119050.7524
956	119037.1139
957	119036.8321
958	118934.5881
959	118929.6433
960	118920.9121
961	118920.7389
962	118904.3209
963	118810.2217
964	118809.8639
965	118745.348
966	118715.9924
967	118630.2503
968	118575.0236
969	118548.3596
970	118534.9839
971	118527.2705
972	118462.2104
973	118432.8199
974	118375.9424
975	118346.057
976	118305.2563
977	118242.6569
978	118235.3643
979	118211.9527
980	118204.5659
981	118143.8742
982	118120.2852
983	118102.212
984	118043.8747
985	118043.5534
986	118043.3138
987	118042.9982
988	118007.2303
989	117957.0741
990	117935.8074
991	117933.5574
992	117920.4604
993	117851.5016
994	117845.9914
995	117770.7017
996	117659.4383
997	117629.1608
998	117599.7504
999	117557.1926
